#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 11 30 09 56  0.8  0.2 10.5  0.7  4.8  NE ENE        N/A  4.7  64
2023 11 30 09 26  0.8  0.2 10.5  0.8  9.1  NE NNE        N/A  4.9  31
2023 11 30 08 56  0.8  0.2 11.1  0.7  9.9 NNE  NE        N/A  4.9  35
2023 11 30 08 26  0.7  0.2 11.1  0.7  9.1 NNE NNE        N/A  4.8  32
2023 11 30 07 56  0.8  0.2 11.1  0.8  9.1 NNE NNE        N/A  5.0  31
2023 11 30 07 26  0.7  0.2 10.5  0.7  8.3 NNE NNE        N/A  5.0  31
2023 11 30 06 56  0.8  0.2 10.5  0.7  9.9 NNE  NE        N/A  5.2  35
2023 11 30 06 26  0.8  0.3 11.8  0.7  9.9 NNE NNE        N/A  5.5  28
2023 11 30 05 56  0.7  0.3 10.5  0.7  4.8 NNE ENE        N/A  5.3  29
2023 11 30 05 26  0.8  0.3 10.5  0.7  9.1 NNE NNE        N/A  5.4  31
2023 11 30 04 56  0.8  0.3 10.5  0.7  9.9 NNE NNE        N/A  5.2  21
2023 11 30 04 26  0.8  0.2 10.5  0.7  9.1 NNE NNE        N/A  5.2  33
2023 11 30 03 56  0.8  0.3 10.5  0.8  9.9 NNE NNE        N/A  5.5  31
2023 11 30 03 26  0.8  0.3 11.8  0.8  9.9 NNE NNE    AVERAGE  5.3  24
2023 11 30 02 56  0.8  0.3 11.1  0.8  4.8 NNE ENE VERY_STEEP  5.2  66
2023 11 30 02 26  0.8  0.3 11.8  0.8  9.9 NNE NNE    AVERAGE  5.2  25
2023 11 30 01 56  0.8  0.3 10.5  0.7  4.8 NNE ENE        N/A  5.1  70
2023 11 30 01 26  0.9  0.3 10.5  0.8  9.9 NNE  NE    AVERAGE  5.0  36
2023 11 30 00 56  0.9  0.3 10.5  0.8  8.3 NNE NNE    AVERAGE  4.8  19
2023 11 30 00 26  0.9  0.3 10.5  0.9  4.3  NE ENE VERY_STEEP  4.5  62
2023 11 29 23 56  1.0  0.3 11.1  0.9  4.5  NE ENE    AVERAGE  4.5  38
2023 11 29 23 26  1.0  0.3 10.5  0.9  4.8  NE ENE VERY_STEEP  4.3  63
2023 11 29 22 56  1.0  0.3 10.5  0.9  9.9 NNE NNE    AVERAGE  4.6  33
2023 11 29 22 26  0.9  0.3 10.5  0.9  4.3 NNE ENE    AVERAGE  4.4  31
2023 11 29 21 56  0.9  0.3 10.5  0.8  9.1 NNE NNE    AVERAGE  4.5  28
2023 11 29 21 26  0.9  0.3 10.5  0.8  9.9 NNE NNE    AVERAGE  4.7  33
2023 11 29 20 56  0.9  0.3 10.5  0.8  8.3 NNE   N    AVERAGE  4.8  24
2023 11 29 20 26  0.8  0.3 11.1  0.8  8.3 NNE NNE    AVERAGE  4.7  29
2023 11 29 19 56  0.9  0.4 10.5  0.8  8.3  NE NNE    AVERAGE  5.0  14
